type,question_id,option_1_id,option_2_id,option_3_id,option_4_id,status,chosen_option,chosen_option_id,given_answer
mcq,68019114064,68019155181,68019155182,68019155183,68019155184,Not Answered,--,,
mcq,68019114065,68019155187,68019155188,68019155185,68019155186,Marked For Review,--,,
mcq,68019114066,68019155190,68019155189,68019155192,68019155191,Answered,3,68019155192,
mcq,68019114067,68019155194,68019155196,68019155193,68019155195,Not Answered,--,,
mcq,68019114068,68019155197,68019155199,68019155198,68019155200,Not Answered,--,,
mcq,68019114069,68019155202,68019155203,68019155204,68019155201,Not Answered,--,,
mcq,68019114070,68019155206,68019155207,68019155205,68019155208,Answered,3,68019155205,
mcq,68019114071,68019155209,68019155211,68019155210,68019155212,Answered,1,68019155209,
mcq,68019114072,68019155214,68019155213,68019155216,68019155215,Marked For Review,2,68019155213,
mcq,68019114073,68019155220,68019155217,68019155219,68019155218,Not Answered,--,,
mcq,68019114074,68019155222,68019155223,68019155221,68019155224,Answered,2,68019155223,
mcq,68019114075,68019155228,68019155227,68019155225,68019155226,Not Answered,--,,
mcq,68019114076,68019155229,68019155231,68019155230,68019155232,Marked For Review,--,,
mcq,68019114077,68019155233,68019155236,68019155235,68019155234,Answered,2,68019155236,
mcq,68019114078,68019155239,68019155237,68019155238,68019155240,Not Answered,--,,
mcq,68019114079,68019155242,68019155243,68019155241,68019155244,Not Answered,--,,
mcq,68019114080,68019155247,68019155246,68019155248,68019155245,Answered,3,68019155248,
mcq,68019114081,68019155251,68019155249,68019155250,68019155252,Not Answered,--,,
mcq,68019114082,68019155255,68019155256,68019155253,68019155254,Answered,1,68019155255,
mcq,68019114083,68019155257,68019155260,68019155258,68019155259,Answered,3,68019155258,
mcq,68019114094,68019155273,68019155274,68019155272,68019155271,Answered,4,68019155271,
mcq,68019114095,68019155278,68019155277,68019155275,68019155276,Answered,3,68019155275,
mcq,68019114096,68019155281,68019155280,68019155279,68019155282,Answered,4,68019155282,
mcq,68019114097,68019155285,68019155283,68019155284,68019155286,Answered,4,68019155286,
mcq,68019114098,68019155290,68019155289,68019155287,68019155288,Answered,4,68019155288,
mcq,68019114099,68019155293,68019155291,68019155292,68019155294,Answered,3,68019155292,
mcq,68019114100,68019155295,68019155298,68019155296,68019155297,Answered,1,68019155295,
mcq,68019114101,68019155299,68019155300,68019155302,68019155301,Answered,1,68019155299,
mcq,68019114102,68019155305,68019155303,68019155306,68019155304,Answered,2,68019155303,
mcq,68019114103,68019155309,68019155308,68019155307,68019155310,Answered,2,68019155308,
mcq,68019114104,68019155311,68019155314,68019155312,68019155313,Not Answered,--,,
mcq,68019114105,68019155317,68019155316,68019155315,68019155318,Answered,1,68019155317,
mcq,68019114106,68019155320,68019155319,68019155321,68019155322,Answered,2,68019155319,
mcq,68019114107,68019155324,68019155325,68019155326,68019155323,Marked For Review,2,68019155325,
mcq,68019114108,68019155327,68019155330,68019155328,68019155329,Answered,3,68019155328,
mcq,68019114109,68019155332,68019155333,68019155331,68019155334,Answered,2,68019155333,
mcq,68019114110,68019155335,68019155337,68019155338,68019155336,Marked For Review,--,,
mcq,68019114111,68019155340,68019155339,68019155342,68019155341,Answered,3,68019155342,
mcq,68019114112,68019155343,68019155346,68019155344,68019155345,Answered,3,68019155344,
mcq,68019114113,68019155349,68019155350,68019155347,68019155348,Not Answered,--,,
mcq,68019114124,68019155362,68019155363,68019155361,68019155364,Marked For Review,--,,
mcq,68019114125,68019155366,68019155368,68019155367,68019155365,Answered,1,68019155366,
mcq,68019114126,68019155369,68019155372,68019155371,68019155370,Answered,4,68019155370,
mcq,68019114127,68019155376,68019155374,68019155373,68019155375,Answered,3,68019155373,
mcq,68019114128,68019155380,68019155379,68019155377,68019155378,Marked For Review,3,68019155377,
mcq,68019114129,68019155384,68019155382,68019155381,68019155383,Answered,2,68019155382,
mcq,68019114130,68019155387,68019155388,68019155385,68019155386,Answered,3,68019155385,
mcq,68019114131,68019155391,68019155390,68019155389,68019155392,Answered,1,68019155391,
mcq,68019114132,68019155395,68019155393,68019155396,68019155394,Marked For Review,--,,
mcq,68019114133,68019155397,68019155398,68019155399,68019155400,Answered,1,68019155397,
mcq,68019114134,68019155401,68019155403,68019155402,68019155404,Answered,1,68019155401,
mcq,68019114135,68019155408,68019155405,68019155406,68019155407,Marked For Review,--,,
mcq,68019114136,68019155409,68019155410,68019155411,68019155412,Answered,3,68019155411,
mcq,68019114137,68019155413,68019155416,68019155415,68019155414,Answered,1,68019155413,
mcq,68019114138,68019155419,68019155417,68019155420,68019155418,Answered,3,68019155420,
mcq,68019114139,68019155421,68019155424,68019155422,68019155423,Marked For Review,4,68019155423,
mcq,68019114140,68019155425,68019155426,68019155428,68019155427,Answered,4,68019155427,
mcq,68019114141,68019155431,68019155429,68019155430,68019155432,Answered,3,68019155430,
mcq,68019114142,68019155434,68019155435,68019155436,68019155433,Answered,3,68019155436,
mcq,68019114143,68019155440,68019155438,68019155437,68019155439,Not Answered,--,,
